POISSON BOLTZMANN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,GGAS,GSOLV,TOTAL
4951,1574.13,3521.76,5781.95,-3690.64,-8560.3,1712.02,16015.34,0.0,3571.01,-2010.33,16354.26,1560.67,17914.93
4952,1524.58,3605.38,5733.02,-3633.67,-8557.58,1798.78,16010.03,0.0,3600.27,-2045.74,16480.54,1554.53,18035.08
4953,1465.68,3591.55,5752.02,-3639.86,-8563.14,1786.91,16077.89,0.0,3610.56,-2052.9,16471.04,1557.66,18028.7
4954,1493.19,3618.93,5773.75,-3636.87,-8564.39,1732.85,16032.3,0.0,3593.96,-2028.02,16449.77,1565.94,18015.71
4955,1526.45,3559.72,5785.88,-3669.82,-8517.67,1774.54,15864.63,0.0,3583.75,-2036.54,16323.73,1547.21,17870.94
4956,1568.19,3574.51,5796.7,-3695.27,-8526.05,1767.69,15905.75,0.0,3575.98,-2036.39,16391.52,1539.59,17931.11
4957,1473.84,3614.64,5773.78,-3655.92,-8558.57,1767.23,15982.75,0.0,3584.31,-2039.25,16397.75,1545.06,17942.81
4958,1490.16,3667.59,5790.09,-3663.85,-8533.89,1755.8,15993.65,0.0,3607.83,-2051.25,16499.56,1556.58,18056.14
4959,1454.14,3586.93,5770.36,-3657.53,-8561.15,1774.01,15998.22,0.0,3575.91,-2031.72,16364.97,1544.19,17909.16
4960,1447.95,3564.95,5770.36,-3655.54,-8557.62,1784.66,15984.14,0.0,3578.14,-2030.81,16338.89,1547.33,17886.22
4961,1532.7,3572.52,5801.3,-3632.64,-8579.71,1767.89,16054.5,0.0,3601.08,-2048.35,16516.56,1552.73,18069.3
4962,1546.17,3599.53,5763.34,-3668.17,-8567.11,1777.16,16031.17,0.0,3579.52,-2033.38,16482.1,1546.14,18028.23
4963,1512.53,3572.98,5813.98,-3648.32,-8575.15,1771.71,16006.79,0.0,3595.42,-2051.99,16454.52,1543.43,17997.95
4964,1492.29,3650.45,5766.36,-3634.05,-8594.8,1753.26,16090.62,0.0,3585.22,-2045.85,16524.12,1539.37,18063.49
4965,1476.06,3523.42,5772.93,-3640.64,-8581.65,1781.88,16161.88,0.0,3601.48,-2039.88,16493.88,1561.6,18055.47
4966,1556.03,3630.69,5807.79,-3643.69,-8572.99,1747.5,16043.11,0.0,3605.22,-2050.89,16568.44,1554.33,18122.77
4967,1557.26,3706.1,5820.09,-3638.31,-8591.62,1738.15,16038.4,0.0,3597.02,-2056.3,16630.08,1540.72,18170.79
4968,1527.6,3725.19,5767.21,-3666.01,-8573.34,1763.78,15965.88,0.0,3588.97,-2044.8,16510.32,1544.17,18054.49
4969,1470.04,3664.95,5809.86,-3658.73,-8560.22,1745.74,15976.91,0.0,3599.74,-2059.0,16448.55,1540.74,17989.29
4970,1494.35,3602.86,5759.52,-3633.16,-8573.41,1738.22,16042.75,0.0,3617.95,-2048.01,16431.14,1569.94,18001.08
4971,1527.51,3643.75,5787.6,-3673.71,-8567.64,1751.63,16012.56,0.0,3600.46,-2042.92,16481.7,1557.54,18039.24
4972,1500.64,3596.85,5858.73,-3627.09,-8577.11,1773.62,16032.99,0.0,3609.86,-2055.25,16558.62,1554.61,18113.23
4973,1467.79,3612.91,5815.79,-3642.95,-8592.25,1773.52,16114.75,0.0,3590.15,-2028.56,16549.56,1561.59,18111.15
4974,1507.59,3620.11,5798.73,-3717.26,-8581.51,1753.05,16062.88,0.0,3589.8,-2024.21,16443.59,1565.59,18009.18
4975,1528.41,3639.01,5787.43,-3597.24,-8572.36,1779.14,16014.6,0.0,3598.93,-2024.97,16578.99,1573.96,18152.94
4976,1474.7,3512.29,5810.25,-3673.01,-8568.27,1780.76,16056.89,0.0,3570.04,-2018.17,16393.61,1551.87,17945.48
4977,1538.1,3559.33,5809.73,-3686.56,-8581.36,1787.17,16139.87,0.0,3596.43,-2027.98,16566.28,1568.45,18134.73
4978,1460.55,3650.28,5841.62,-3668.66,-8552.72,1759.71,15998.01,0.0,3600.67,-2034.84,16488.8,1565.83,18054.62
4979,1537.09,3587.12,5820.48,-3722.13,-8549.6,1728.03,15981.64,0.0,3597.12,-2031.34,16382.63,1565.78,17948.41
4980,1522.14,3583.81,5780.64,-3603.94,-8596.15,1798.67,16016.92,0.0,3597.29,-2039.78,16502.1,1557.51,18059.61
4981,1505.85,3535.22,5797.55,-3638.16,-8564.9,1785.64,16013.61,0.0,3615.48,-2057.71,16434.81,1557.77,17992.58
4982,1504.61,3626.65,5734.84,-3657.04,-8528.86,1731.08,15917.43,0.0,3608.83,-2041.69,16328.71,1567.14,17895.85
4983,1594.78,3664.92,5750.56,-3638.48,-8556.32,1758.35,15935.17,0.0,3593.22,-2040.83,16508.98,1552.4,18061.38
4984,1524.54,3538.48,5790.18,-3618.75,-8574.6,1760.13,16038.6,0.0,3615.51,-2053.63,16458.58,1561.88,18020.45
4985,1472.54,3597.35,5803.28,-3646.2,-8548.97,1764.99,15947.33,0.0,3585.63,-2027.89,16390.32,1557.73,17948.05
4986,1491.38,3639.9,5777.03,-3631.79,-8551.06,1780.11,15986.79,0.0,3611.23,-2052.7,16492.36,1558.53,18050.89
4987,1575.95,3674.49,5780.3,-3609.53,-8551.93,1776.87,15944.73,0.0,3592.06,-2043.17,16590.88,1548.88,18139.76
4988,1460.46,3637.48,5771.3,-3645.74,-8568.43,1776.81,16078.51,0.0,3609.93,-2066.11,16510.38,1543.82,18054.2
4989,1518.55,3461.88,5798.29,-3688.02,-8567.14,1780.58,16029.36,0.0,3592.98,-2041.04,16333.49,1551.94,17885.44
