POISSON BOLTZMANN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,GGAS,GSOLV,TOTAL
4976,1504.8,3614.29,5811.47,-3626.16,-8566.25,1757.47,15970.8,0.0,3560.47,-2018.05,16466.43,1542.42,18008.84
4977,1516.87,3544.79,5744.37,-3657.36,-8531.1,1759.6,15861.49,0.0,3563.22,-2011.53,16238.67,1551.69,17790.36
4978,1473.56,3545.81,5782.54,-3608.39,-8540.19,1768.64,15892.71,0.0,3571.53,-2031.56,16314.67,1539.97,17854.64
4979,1527.14,3568.66,5750.02,-3641.45,-8556.35,1751.72,15906.94,0.0,3570.55,-2031.17,16306.68,1539.37,17846.06
4980,1475.47,3456.65,5764.42,-3670.79,-8541.84,1753.72,15963.83,0.0,3565.36,-2033.98,16201.45,1531.38,17732.83
4981,1504.24,3589.81,5752.38,-3626.33,-8534.77,1760.54,15916.08,0.0,3568.15,-2027.73,16361.95,1540.42,17902.37
4982,1502.15,3611.2,5773.05,-3633.26,-8558.7,1752.37,15962.33,0.0,3582.71,-2046.1,16409.14,1536.61,17945.75
4983,1508.19,3594.71,5778.01,-3667.96,-8571.3,1755.7,16052.09,0.0,3569.48,-2021.73,16449.43,1547.75,17997.18
4984,1549.08,3558.98,5731.4,-3631.0,-8557.01,1735.2,15926.99,0.0,3579.01,-2024.88,16313.63,1554.14,17867.76
4985,1454.82,3552.2,5730.74,-3594.21,-8567.03,1718.51,15996.99,0.0,3594.88,-2058.31,16292.03,1536.57,17828.6
4986,1510.86,3484.05,5749.76,-3637.72,-8535.36,1703.67,15905.31,0.0,3574.59,-2037.62,16180.56,1536.97,17717.53
4987,1505.03,3688.95,5734.97,-3633.74,-8556.93,1768.79,15983.77,0.0,3566.42,-2030.31,16490.85,1536.11,18026.96
4988,1474.4,3438.04,5818.44,-3592.69,-8575.29,1733.89,16011.63,0.0,3565.91,-2021.38,16308.41,1544.53,17852.94
4989,1478.75,3475.33,5765.78,-3554.14,-8598.79,1762.76,16089.25,0.0,3566.82,-2026.63,16418.93,1540.19,17959.12
